name,data,quote_text,status,url
É falso que Tite afirmou que eleitores de Bolsonaro ‘são alienados’,"10 de julho de 2019, 16h15",Tite fala em entrevista à Globo: ‘Eleitores de Bolsonaro são alienados’,FALSO,https://www.aosfatos.org/noticias/e-falso-que-tite-afirmou-que-eleitores-de-bolsonaro-sao-alienados/
Patrícia Lélis não denunciou Glauber Braga por agressão e ameaça,"11 de julho de 2019, 12h04","Ué, não foi esse tal de Glauber Braga que chamou Moro de LADRÃO? Então, quer dizer que além de bater em mulher, ele ameaçava liberar fotos íntimas, segundo a feminazi lelis Patricia??",FALSO,https://www.aosfatos.org/noticias/patricia-lelis-nao-denunciou-glauber-braga-por-agressao-e-ameaca/
Livro adulto que faz paródia de personagem infantil não era vendido na Bienal,"9 de setembro de 2019, 15h12",Sobre a bienal do livro… Leiam o conteúdo de algumas das páginas e me digam se vocês acham adequado para crianças o que o Toffoli acaba de liberar.,FALSO,https://www.aosfatos.org/noticias/livro-adulto-que-faz-parodia-de-personagem-infantil-nao-era-vendido-na-bienal/
Livro adulto que faz paródia de personagem infantil não era vendido na Bienal,"9 de setembro de 2019, 15h12",Será que esse ministro esclerosado do STF está se referindo ao fato desses livros incitarem o sexo entre crianças e também com animais? Ou será que ele acha isso certo?,FALSO,https://www.aosfatos.org/noticias/livro-adulto-que-faz-parodia-de-personagem-infantil-nao-era-vendido-na-bienal/
"Trump não mandou tocar o hino nacional brasileiro na Times Square, em Nova York","9 de setembro de 2019, 18h00","No dia de hoje o Trump, manda tocar o hino Nacional em plena Times Square, na Big Apple!! Orgulho de ser brasileiro.",FALSO,https://www.aosfatos.org/noticias/trump-nao-mandou-tocar-o-hino-nacional-brasileiro-na-times-square-em-nova-york/
Imagem que mostra Macron ainda criança ao lado de Brigitte é montagem,"11 de setembro de 2019, 13h28","Primeira dama com seu 1° marido,Alguém sabe quem é o ""menininho""???",FALSO,https://www.aosfatos.org/noticias/imagem-que-mostra-macron-ainda-crianca-ao-lado-de-brigitte-e-montagem/
É falso que jornalista Guga Chacra disse ter nojo do Brasil,"11 de setembro de 2019, 16h17",Comentarista da Globo diz que tem nojo do Brasil.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-jornalista-guga-chacra-disse-ter-nojo-do-brasil/
É falso que manifestante esfaqueou policial durante greve geral em SP,"14 de junho de 2019, 19h26",Policial é esfaqueada por grevista pró-Lula,FALSO,https://www.aosfatos.org/noticias/e-falso-que-manifestante-esfaqueou-policial-durante-greve-geral-em-sp/
É falso que manifestante esfaqueou policial durante greve geral em SP,"14 de junho de 2019, 19h26","""Manifestante"" esquerdista agride PM feminina com uma facada no pescoço",FALSO,https://www.aosfatos.org/noticias/e-falso-que-manifestante-esfaqueou-policial-durante-greve-geral-em-sp/
É falso que manifestante esfaqueou policial durante greve geral em SP,"14 de junho de 2019, 19h26","Manifestação em São Paulo, baderneiro ataca policial com uma faca e atinge o pescoço, a policial passa bem. O vagabundo foi abatido.",FALSO,https://www.aosfatos.org/noticias/e-falso-que-manifestante-esfaqueou-policial-durante-greve-geral-em-sp/
É falso que governador do Maranhão trocou bandeira nacional pela comunista,"17 de junho de 2019, 13h03",Governador do estado do Maranhão substitui a bandeira nacional pela bandeira do partido comunista.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-governador-do-maranhao-trocou-bandeira-nacional-pela-comunista/
ONU não previu implantação de chips em toda a humanidade até 2030,"14 de junho de 2019, 17h21",ONU prevê que toda a humanidade seja chipada até 2030 e quem recusar será ‘excluído da sociedade’,FALSO,https://www.aosfatos.org/noticias/onu-nao-previu-implantacao-de-chips-em-toda-a-humanidade-ate-2030/
É falso que ACM morreu em acidente de helicóptero semanas após criticar Lula,"24 de junho de 2019, 12h21","ACM morreu em Julho de 2007, em um ‘acidente’ de helicóptero. Poucas semanas antes fez um pronunciamento na tribuna do Senado, em plena vigência do 2º mandato de Lula, que até hoje não havia sido divulgado. Veja o que ele disse…",FALSO,https://www.aosfatos.org/noticias/e-falso-que-acm-morreu-em-acidente-de-helicoptero-apos-criticar-lula/
Senador Contarato não disse que Lava Jato deveria ser anulada,"24 de junho de 2019, 16h26","‘A Lava Jato é uma árvore podre e deve ser anulada. Todos os julgamentos e condenações’, afirmou o Senador da Rede [Fabiano Contarato].",FALSO,https://www.aosfatos.org/noticias/senador-contarato-nao-disse-que-lava-jato-deveria-ser-anulada/
Reportagens de The Intercept não trazem mensagem de Dallagnol a Moro sobre caso tríplex,"24 de junho de 2019, 17h37","Dallagnol: ‘Não temos provas em relação ao tríplex’. Moro: ‘Não tem problema, faz a denúncia, que eu aceito e condeno!’.",FALSO,https://www.aosfatos.org/noticias/reportagens-de-the-intercept-nao-trazem-mensagem-de-dallagnol-a-moro-sobre-caso-triplex/
Lula não sugeriu assassinato de Palocci em áudio; gravação é falsa,"25 de junho de 2019, 16h38",BOMBÁSTICO! GRAMPO REVELA QUE LULA QUERIA O ASSASSINATO DE PALOCCI NA PRISÃO (Áudio é verdadeiro!),FALSO,https://www.aosfatos.org/noticias/lula-nao-sugeriu-assassinato-de-palocci-em-audio-gravacao-e-falsa/
Não há fontes que provem existência de áudio em que Moro xinga Bolsonaro,"25 de junho de 2019, 18h24","Em áudio, Moro diz: será esse imbecil o presidente? Dallagnol responde: infelizmente, esta ameba é a nossa única escolha [o Bozo].",FALSO,https://www.aosfatos.org/noticias/nao-ha-fontes-que-provem-existencia-de-audio-em-que-moro-xinga-bolsonaro/
Militar preso por transportar cocaína em avião da FAB não é filiado ao PT,"27 de junho de 2019, 12h24",Militar preso da FAB. O militar detido por drogas é filiado ao PT. Pronto! Resolvido o mistério.,FALSO,https://www.aosfatos.org/noticias/militar-preso-por-transportar-cocaina-em-aviao-da-fab-nao-e-filiado-ao-pt/
"Homem em foto com Bolsonaro é o deputado Sóstenes, não militar flagrado com cocaína","28 de junho de 2019, 15h48",Adivinha quem estava com o presidente miliciano na fatídica marcha para jesus? Ele mesmo! Sargento traficante miliciano do PSL!,FALSO,https://www.aosfatos.org/noticias/homem-em-foto-com-bolsonaro-e-o-deputado-sostenes-nao-militar-flagrado-com-cocaina/
É falso que militar preso por transportar cocaína em avião da FAB seja filiado ao PSL,"27 de junho de 2019, 16h16","Sargento Manoel Silva Rodrigues da comitiva do bozo, preso pelo tráfico de drogas na Espanha, é pastor evangélico filiado ao PSL.",FALSO,https://www.aosfatos.org/noticias/e-falso-que-militar-preso-por-transportar-cocaina-em-aviao-da-fab-seja-filiado-ao-psl/
Não é o militar preso na Espanha que aparece em foto com Flávio Bolsonaro,"28 de junho de 2019, 17h35","E agora é montagem??? Esse é o militar que foi pego com 39 kg de cocaína e quem é esse outro de terno, alguém conhece???",FALSO,https://www.aosfatos.org/noticias/nao-e-o-militar-preso-na-espanha-que-aparece-em-foto-com-flavio-bolsonaro/
É falso que The Economist elegeu Lula o governante mais corrupto da história,"20 de setembro de 2019, 12h25","Lula é eleito pela Revista Inglesa ""The Economist"" como o maior Ladrão do Mundo.",FALSO,https://www.aosfatos.org/noticias/e-falso-que-the-economist-elegeu-lula-o-governante-mais-corrupto-da-historia/
É falso que The Economist elegeu Lula o governante mais corrupto da história,"20 de setembro de 2019, 12h25",Ele e seus amigos petistas roubaram e desviaram para países Comunistas mais de 10 trilhões do Brasil.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-the-economist-elegeu-lula-o-governante-mais-corrupto-da-historia/
Bolsonaro não disse que 'filho de pobre tem tara por fazer faculdade',"30 de maio de 2019, 17h31","“Eu, Jair Messias Bolsonaro, digo: filho de pobre tem tara por fazer faculdade. Se não tem dinheiro pra pagar, não venha dar despesa para o governo. Faça outra coisa da vida”",FALSO,https://www.aosfatos.org/noticias/bolsonaro-nao-disse-que-filho-de-pobre-tem-tara-por-fazer-faculdade/
Foto de marcha Lula Livre é compartilhada como se fosse de ato pela educação,"31 de maio de 2019, 13h31","Resumo das manifestações de hoje: 1% educação, 4% maconha, 5% Não sabem porque estão ali, 90% Lula livre.",FALSO,https://www.aosfatos.org/noticias/foto-de-marcha-lula-livre-de-2018-e-compartilhada-como-se-fosse-de-manifestacao-pela-educacao/
É falso que Ciro Gomes disse que apoia Bolsonaro e que esquerda ‘atrasa o país’,"31 de maio de 2019, 17h33",Ciro Gomes choca o Brasil: ‘Reconheço que a esquerda e o centrão querem atrasar este país. A partir de hoje estou com Bolsonaro’.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-ciro-gomes-disse-que-apoia-bolsonaro-e-que-esquerda-atrasa-o-pais/
